test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID|wopSignkey|mopParticipantID|mopSignkey|data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
1-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData": {"wopUserReference":"#autotest_data#","evonetUserReference":"#autotest_data#"},"qrPayload":"https://AutoGrabPay001.com","location":"JPN"}|{"code":"S0000","message":"Success."}|||||all
1-2|MPM Payment Authentication|MPM Payment Authentication-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetReference":"#evonetReference#","userData": {"wopUserReference":"#autotest_data#"},"wopOrderNumber":"#wopOrderNumber#","wopTransTime":"#wopTransTime#","transAmount": {"currency":"JPY","value":"23"}}|{"code":"S0000","message":"Success."}|||||all
1-3|Payment Notification|Payment Notification-MPM通知成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetOrderNumber":"#evonetOrderNumber#","evonetOrderCreateTime":"#evonetOrderCreateTime#","userPayTime":"#userPayTime#","transResult": {"status":"succeeded","message":"Success"}}|{"code":"S0000","message":"Success."}|||||all
1-4|Cancellation|Cancellation-MPM取消成功(传evonetOrderNumber)||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetOrderNumber":"#originalEvonetOrderNumber#"}|{"code":"S0000","message":"Success."}|{"evonetOrderNumber":"#evonetOrderNumber#"}|{"status":"cancelled","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
2-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData": {"wopUserReference":"#autotest_data#","wopToken":"#autotest_data#","evonetUserReference":"#autotest_data#"}}|{"code":"S0000","message":"Success."}|||||all
2-2|CPM Payment|CPM Payment-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"mopToken": {"value":"#mopToken#"},"mopOrderNumber":"#mopOrderNumber#","mopTransTime":"#mopTransTime#","transAmount": {"currency":"JPY","value":"23"},"storeInfo": {"id":"auto storeId","localName":"auto localName","mcc":"7011"}}|{"code":"S0000","message":"Success."}|||||all
2-3|Cancellation|Cancellation-CPM取消成功(传mopOrderNumber)||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"mopOrderNumber":"#originalMopOrderNumber#"}|{"code":"S0000","message":"Success."}|{"evonetOrderNumber":"#evonetOrderNumber#"}|{"status":"cancelled","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
3-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData": {"wopUserReference":"#autotest_data#","wopToken":"#autotest_data#","evonetUserReference":"#autotest_data#"}}|{"code":"S0000","message":"Success."}|||||all
3-2|CPM Payment|CPM Payment-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"mopToken": {"value":"#mopToken#"},"mopOrderNumber":"#mopOrderNumber#","mopTransTime":"#mopTransTime#","transAmount": {"currency":"JPY","value":"23"},"storeInfo": {"id":"auto storeId","localName":"auto localName","mcc":"7011"}}|{"code":"S0000","message":"Success."}|||||all
3-3|Cancellation|Cancellation-evonetOrderNumber为空-mopOrderNumber不传||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetOrderNumber":""}|{"code":"V0001","message":"Field {evonetOrderNumber and mopOrderNumber} absent or empty."}|||||all
