test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID|wopSignkey|mopParticipantID|mopSignkey|data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
1|CPMToken|CPMToken-brandID为空||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"","userData":{"wopUserReference":"#autotest_data#","wopToken":"#autotest_data#","evonetUserReference":"#autotest_data#"}}|{"code":"V0001","message":"Field {brandID} absent or empty."}|||||all
2|CPMToken|CPMToken-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData":{"wopUserReference":"#autotest_data#","wopToken":"#autotest_data#","evonetUserReference":"#autotest_data#"}}|{"code":"S0000","message":"Success."}|{ "qrList.0.value": "#value#" }|{"wopID":"WOP_Auto_JCoinPay_001","mopID":"MOP_Auto_GrabPay_001"}|||all
3|CPMToken|CPMToken-brandID超过128位（129位）||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"qqqqq213213213213213123qqqqq213213213213213123qqqqq213213213213213123qqqqq213213213213213123qqqqq213213213213213123wwwwwwwwwwwwww","userData":{"wopUserReference":"#autotest_data#","wopToken":"#autotest_data#","evonetUserReference":"#autotest_data#"}}|{"code":"V0017","message":"Field {brandID} invalid length."}|||||all
4|CPMToken|CPMToken-（非银联）wopUserReference为空，wopToken有数值-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData":{"wopUserReference":"","wopToken":"#autotest_data#","evonetUserReference":"#autotest_data#"}}|{"code":"V0001","message":"Field {wopUserReference} absent or empty."}|||||all
5|CPMToken|CPMToken-（非银联）wopUserReference为空，wopToken为空||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData":{"wopUserReference":"","wopToken":"","evonetUserReference":"#autotest_data#"}}|{"code":"V0001","message":"Field {wopUserReference} absent or empty."}|||||all
6|CPMToken|CPMToken-wopUserReference为特殊字符-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData":{"wopUserReference":"特殊符号测试@@^>)($$qwqw111","wopToken":"#autotest_data#","evonetUserReference":"#autotest_data#"}}|{"code":"S0000","message":"Success."}|{ "qrList.0.value": "#value#" }|{"wopID":"WOP_Auto_JCoinPay_001","mopID":"MOP_Auto_GrabPay_001"}|||all
7|CPMToken|CPMToken-wopUserReference超过512位（513位）||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData":{"wopUserReference":"#create_512#1","wopToken":"#autotest_data#","evonetUserReference":"#autotest_data#"}}|{"code":"V0017","message":"Field {userData.wopUserReference} invalid length."}|||||all
8|CPMToken|CPMToken-（非银联）wopUserReference有数值，wopToken为空-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData":{"wopUserReference":"#autotest_data#","wopToken":"","evonetUserReference":"#autotest_data#"}}|{"code":"S0000","message":"Success."}|{ "qrList.0.value": "#value#" }|{"wopID":"WOP_Auto_JCoinPay_001","mopID":"MOP_Auto_GrabPay_001"}|||all
9|CPMToken|CPMToken-wopToken超过2048位（2049位）||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData":{"wopUserReference":"#autotest_data#","wopToken":"#create_2048#1","evonetUserReference":"#autotest_data#"}}|{"code":"V0017","message":"Field {userData.wopToken} invalid length."}|||||all
10|CPMToken|CPMToken-wopToken为特殊字符-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID":"Auto_GrabPay_001","userData":{"wopUserReference":"#autotest_data#","wopToken":"特殊符号测试@@^>)($$qwqw打算111","evonetUserReference":"#autotest_data#"}}|{"code":"S0000","message":"Success."}|{ "qrList.0.value": "#value#" }|{"wopID":"WOP_Auto_JCoinPay_001","mopID":"MOP_Auto_GrabPay_001"}|||all
