test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID|wopSignkey|mopParticipantID|mopSignkey|data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
3|MPM QR Verification|mpmqrverify-userdata的值为空||||||WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"brandID": "Auto_GrabPay_031", "userData": {"wopUserReference":"delete","evonetUserReference": "delete"}, "qrPayload": "https://AutoGrabPay031.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
4|MPM Payment|mpmpayment-userdata的值为空||tyo|wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_031"}|{"specialInfo.mpmPaymentCardScheme":True}|WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference":"delete","evonetUserReference": "delete"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "V0001", "message": "Field {wopUserReference and evonetUserReference} absent or empty."}|||||all
5-1|MPM QR Verification|mpmqrverify只上送wopUserReference(且值正确)||||||WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"brandID": "Auto_GrabPay_031", "userData": {"wopUserReference":"WOP_Auto_JCoinPay_031","evonetUserReference": "delete"}, "qrPayload": "https://AutoGrabPay031.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
5-2|MPM Payment|mpmpayment上送正确的wopUserReference||tyo|wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_031"}|{"specialInfo.mpmPaymentCardScheme":True}|WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"evonetReference": "#evonetReference#","userData": {"wopUserReference":"WOP_Auto_JCoinPay_031","evonetUserReference": "delete"}, "wopOrderNumber": "#wopOrderNumber#","wopTransTime": "#wopTransTime#","transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|||||all
6-1|MPM QR Verification|mpmqrverify只上送wopUserReference(且值正确)||||||WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"brandID": "Auto_GrabPay_031", "userData": {"wopUserReference":"WOP_Auto_JCoinPay_031","evonetUserReference": "delete"}, "qrPayload": "https://AutoGrabPay031.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
6-2|MPM Payment|mpmpayment上送错误的wopUserReference||tyo|wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_031"}|{"specialInfo.mpmPaymentCardScheme":True}|WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference":"WOP_Auto_JCoinPay","evonetUserReference": "delete"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "B0031", "message": "{wopUserReference} does not match."}|||||all
7-1|MPM QR Verification|mpmqrverify只上送wopUserReference(且值正确)||||||WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"brandID": "Auto_GrabPay_031", "userData": {"wopUserReference":"WOP_Auto_JCoinPay_031","evonetUserReference": "delete"}, "qrPayload": "https://AutoGrabPay031.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
7-2|MPM Payment|mpmpayment不上送wopUserReference，上送evonetUserReference||tyo|wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_031"}|{"specialInfo.mpmPaymentCardScheme":True}|WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"evonetReference": "#evonetReference#", "userData": {"evonetUserReference":"WOP_Auto_JCoinPay_031","wopUserReference":"delete"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "B0031", "message": "{wopUserReference} does not match."}|||||all
8-1|MPM QR Verification|mpmqrverify只上送wopUserReference(且值正确)||||||WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"brandID": "Auto_GrabPay_031", "userData": {"wopUserReference":"WOP_Auto_JCoinPay_031","evonetUserReference": "delete"}, "qrPayload": "https://AutoGrabPay031.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
8-2|MPM Payment|mpmpayment上送wopUserReference，上送evonetUserReference||tyo|wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_031"}|{"specialInfo.mpmPaymentCardScheme":True}|WOP_Auto_JCoinPay_031||MOP_Auto_GrabPay_031||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference":"WOP_Auto_JCoinPay_031","evonetUserReference":"WOP_Auto_JCoinPay_031"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|||||all
