test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID|wopSignkey|mopParticipantID|mopSignkey|data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
1-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID": "Auto_GrabPay_001", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay001.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
1-2|MPM Payment Authentication|MPM Payment Authentication-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"status": "authorizing"}|||all
3-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID": "Auto_GrabPay_001", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay001.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
3-2|MPM Payment Authentication|MPM Payment Authentication-userData.wopUserReference512位-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#create_512#"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"mopConverterCurrencyFlag" : False,"wopConverterCurrencyFlag" : False}|||all
8-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID": "Auto_GrabPay_001", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay001.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
8-2|MPM Payment Authentication|MPM Payment Authentication-wopOrderNumber 1位-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "1", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopID": "WOP_Auto_JCoinPay_001","mopID": "MOP_Auto_GrabPay_001"}|||all
9-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID": "Auto_GrabPay_001", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay001.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
9-2|MPM Payment Authentication|MPM Payment Authentication-wopOrderNumber 128位-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "#create_128#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopID": "WOP_Auto_JCoinPay_001","mopID": "MOP_Auto_GrabPay_001"}|||all
13-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID": "Auto_GrabPay_001", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay001.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
13-2|MPM Payment Authentication|MPM Payment Authentication-nmopTransTime为20180424073122-0700-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "20180424073122-0700", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopID": "WOP_Auto_JCoinPay_001","mopID": "MOP_Auto_GrabPay_001"}|||all
14-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"brandID": "Auto_GrabPay_001", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay001.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
14-2|MPM Payment Authentication|MPM Payment Authentication-mopTransTime为20180424073122+0145-交易成功||||||WOP_Auto_JCoinPay_001||MOP_Auto_GrabPay_001||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "wqe112"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "20180424073122+0145", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopID": "WOP_Auto_JCoinPay_001","mopID": "MOP_Auto_GrabPay_001"}|||all
34-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_002||MOP_Auto_GrabPay_002||{"brandID": "Auto_GrabPay_002", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay002.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
34-2|MPM Payment Authentication|MPM Payment Authentication-evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:CAD,billingSettCurrency:USD,计算清算,取个性化表（测试币种转换标志）||||||WOP_Auto_JCoinPay_002||MOP_Auto_GrabPay_002||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"mopConverterCurrencyFlag" : True,"wopConverterCurrencyFlag" : True,"billingConverterCurrencyFlag":True}|||all
35-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_002||MOP_Auto_GrabPay_002||{"brandID": "Auto_GrabPay_002", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay002.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
35-2|MPM Payment Authentication|MPM Payment Authentication-evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:CAD,billingSettCurrency:USD,计算清算,取个性化表||||||WOP_Auto_JCoinPay_002||MOP_Auto_GrabPay_002||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" : 0.12,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" : 0.15}|||all
36-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_003||MOP_Auto_GrabPay_003||{"brandID": "Auto_GrabPay_003", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay003.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
36-2|MPM Payment Authentication|MPM Payment Authentication-evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:JPY,billingSettCurrency:USD,计算清算,取个性化表||||||WOP_Auto_JCoinPay_003||MOP_Auto_GrabPay_003||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"mopSettleCurrency" : "JPY","wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" : 0.12,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" : 0.15}|||all
37-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_004||MOP_Auto_GrabPay_004||{"brandID": "Auto_GrabPay_004", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay004.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
37-2|MPM Payment Authentication|MPM Payment Authentication,evonet给MOP提供货币转换-wopSettCurrency:JPY,mopSettCurrency:CAD,billingSettCurrency:USD,计算清算,取个性化表||||||WOP_Auto_JCoinPay_004||MOP_Auto_GrabPay_004||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "JPY","billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" : 0.15}|||all
38-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_005||MOP_Auto_GrabPay_005||{"brandID": "Auto_GrabPay_005", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay005.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
38-2|MPM Payment Authentication|evonet给MOP提供货币转换-wopSettCurrency:EUR,mopSettCurrency:CAD,billingSettCurrency:JPY,计算清算,取个性化表||||||WOP_Auto_JCoinPay_005||MOP_Auto_GrabPay_005||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "#autotest_data#"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" :  0.12,"billingCurrency" : "JPY"}|||all
39-1|MPM QR Verification|MPM QR Verification-交易成功||||||WOP_Auto_JCoinPay_006||MOP_Auto_GrabPay_006||{"brandID": "Auto_GrabPay_006", "userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay006.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
