test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID||mopParticipantID||data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
1-1|CPM Token|CPM Token-交易成功|||||||||||{"code": "S0000", "message": "Success."}|||||all
1-2|CPM Payment|CPM Payment-交易成功|||||||||||{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopConverterCurrencyFlag" : False,"wopConverterCurrencyFlag" : False,"billingConverterCurrencyFlag" : False}|||all
2-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
2-2|CPM Payment|CPM Payment-mopToken.value为空||||||||||{"mopToken": {"value": ""}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0001", "message": "Field {mopToken.value} absent or empty."}|||||all
3-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
3-2|CPM Payment|CPM Payment-mopToken.value超过2048位（2049位）||||||||||{"mopToken": {"value": "#create_2048#1"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0017", "message": "Field {mopToken.value} invalid length."}|||||all
4-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
4-2|CPM Payment|CPM Payment-mopOrderNumber为空||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0001", "message": "Field {mopOrderNumber} absent or empty."}|||||all
5-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
5-2|CPM Payment|CPM Payment-mopOrderNumber超过128位（129位）||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#create_128#1", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0017", "message": "Field {mopOrderNumber} invalid length."}|||||all
6-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
6-2|CPM Payment|CPM Payment-mopOrderNumber为特殊字符-交易成功||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "*()&^*(wee123", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopID":"WOP_Auto_JCoinPay_01","mopID":"MOP_Auto_GrabPay_01"}|||all
7-1|CPM Token|CPM Token-交易成功|||||||||||{"code": "S0000", "message": "Success."}|||||all
7-2|CPM Payment|CPM Payment-mopTransTime为空||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0001", "message": "Field {mopTransTime} absent or empty."}|||||all
8-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
8-2|CPM Payment|CPM Payment-mopTransTime为20180424073122:0800||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "20180424073122:0800", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0002", "message": "Field {mopTransTime} invalid value."}|||||all
9-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
9-2|CPM Payment|CPM Payment-mopTransTime为20180424073122-0700-交易成功||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "20180424073122-0700", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"status" : "succeeded","wopStatus" : "succeeded","mopStatus" : "succeeded"}|||all
11-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
11-2|CPM Payment|CPM Payment-mopTransTime为特殊字符||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "@$^&*()", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0002", "message": "Field {mopTransTime} invalid value."}|||||all
12-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
12-2|CPM Payment|CPM Payment-transAmount.currency为数字||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "111", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0002", "message": "Field {transAmount.currency} invalid value."}|||||all
13-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
13-2|CPM Payment|CPM Payment-transAmount.currency为空||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0001", "message": "Field {transAmount.currency} absent or empty."}|||||all
14-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
14-2|CPM Payment|CPM Payment-transAmount.currency为LLL||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "LLL", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0002", "message": "Field {transAmount.currency} invalid value."}|||||all
15-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
15-2|CPM Payment|CPM Payment-transAmount.currency大于3位||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPYY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0017", "message": "Field {transAmount.currency} invalid length."}|||||all
16-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
