test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID|wopSignkey|mopParticipantID|mopSignkey|data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
1|MPM QR Verification|MPM QR Verification-交易成功|||||||||||{"code": "S0000","message": "Success."}|{"evonetReference": "#evonetReference#"}|{"wopID": "WOP_Auto_JCoinPay_01","mopID": "MOP_Auto_GrabPay_01"}|||all
2|MPM QR Verification|MPM QR Verification-brandID为空-交易成功||||||||||{"brandID": ""}|{"code": "S0000","message": "Success."}|{"evonetReference": "#evonetReference#"}|{"wopID": "WOP_Auto_JCoinPay_01","mopID": "MOP_Auto_GrabPay_01"}|||all
3|MPM QR Verification|MPM QR Verification-brandID为超过128位（129位）||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "#create_128#1","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPay01.com","location": "JPN"}|{"code": "V0017","message": "Field {brandID} invalid length."}|||||all
4|MPM QR Verification|MPM QR Verification-deviceID为1位-交易成功||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"deviceID": "1","qrPayload": "https://AutoGrabPay01.com","location": "JPN"}|{"code": "S0000","message": "Success."}|{"evonetReference": "#evonetReference#"}|{"wopID": "WOP_Auto_JCoinPay_01","mopID": "MOP_Auto_GrabPay_01"}|||all
5|MPM QR Verification|MPM QR Verification-deviceID为64位（数字+字母+特殊符号）-交易成功||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"deviceID": "@@^>)($$qwqw111@@^>)($$qwqw111@@^>)($$qwqw111@@^>)($$qwqw1113222","qrPayload": "https://AutoGrabPay01.com","location": "JPN"}|{"code": "S0000","message": "Success."}|{"evonetReference": "#evonetReference#"}|{"wopID": "WOP_Auto_JCoinPay_01","mopID": "MOP_Auto_GrabPay_01"}|||all
6|MPM QR Verification|MPM QR Verification-deviceID为超过64位（65位）||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"deviceID": "@@^>)($$qwqw111@@^>)($$qwqw111@@^>)($$qwqw111@@^>)($$qwqw11132221","qrPayload": "https://AutoGrabPay01.com","location": "JPN"}|{"code": "V0017","message": "Field {deviceID} invalid length."}|||||all
7|MPM QR Verification|MPM QR Verification-qrPayload为空||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "","location": "JPN"}|{"code": "V0001","message": "Field {qrPayload} absent or empty."}|||||all
8|MPM QR Verification|MPM QR Verification-qrPayload大于2048（2049位）||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "#create_2048#1","location": "JPN"}|{"code": "V0017","message": "Field {qrPayload} invalid length."}|||||all
9|MPM QR Verification|MPM QR Verification-qrPayload不存在||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://PaypayAuqwqd.com","location": "JPN"}|{"code": "B0027","message": "QR code is not supported."}|||||all
10|MPM QR Verification|WOP配置信息检查-WOP不存在||tyo|wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_B1"}||MOP_Auto_GrabPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPay01.com","location": "JPN"}|{"code":"B0016","message":"Participant ID (WOP) not found."}|||||all
11|MPM QR Verification|WOP配置信息检查-WOP存在_deleteFlag：True(删除)-交易失败||||||WOP_Auto_JCoinPay_A2||MOP_Auto_GrabPay_A2||{"brandID": "Auto_GrabPay_A2","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayA2.com","location": "JPN"}|{"code":"B0016","message":"Participant ID (WOP) not found."}|||||all
12|MPM QR Verification|WOP配置信息检查-WOP状态已关闭-交易失败||||||WOP_Auto_JCoinPay_A1||MOP_Auto_GrabPay_A1||{"brandID": "Auto_GrabPay_A1","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayA1.com","location": "JPN"}|{"code":"B0019","message":"WOP status error."}|||||all
13|MPM QR Verification|brandID不匹配-交易失败||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "brandIDnotMatch","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPay01.com","location": "JPN"}|{"code":"B0023","message":"Brand ID not match."}|||||all
14|MPM QR Verification|WOP和MOP业务关系relation表不存在||||||WOP_Auto_JCoinPay_A5||MOP_Auto_GrabPay_A5||{"brandID": "Auto_GrabPay_A5","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayA5.com","location": "JPN"}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
15|MPM QR Verification|WOP和MOP业务关系relation表不存在，WOP和*存在||||||WOP_Auto_JCoinPay_A6||MOP_Auto_GrabPay_A6||{"brandID": "Auto_GrabPay_A6","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayA6.com","location": "JPN"}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
16|MPM QR Verification|WOP和MOP业务关系relation表不存在，MOP和*存在||||||WOP_Auto_JCoinPay_A7||MOP_Auto_GrabPay_A7||{"brandID": "Auto_GrabPay_A7","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayA7.com","location": "JPN"}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
18|MPM QR Verification|WOP和MOP业务关系relation表不存在，WOP和*存在, MOP和*存在||||||WOP_Auto_JCoinPay_02||MOP_Auto_GrabPay_02||{"brandID": "Auto_GrabPay_02","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPay02.com","location": "JPN"}|{"code": "S0000","message": "Success."}|{"evonetReference": "#evonetReference#"}|{"wopID": "WOP_Auto_JCoinPay_02","mopID": "MOP_Auto_GrabPay_02"}|||all
19|MPM QR Verification|MOP配置信息检查-MOP不存在|||mop|{"baseInfo.mopID":"MOP_Auto_GrabPay_B1"}||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayB1.com","location": "JPN"}|{"code":"B0017","message":"Participant ID (MOP) not found."}|||||all
20|MPM QR Verification|MOP配置信息检查-MOP存在_deleteFlag：True(删除)-交易失败||||||WOP_Auto_JCoinPay_A4||MOP_Auto_GrabPay_A4||{"brandID": "Auto_GrabPay_A4","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayA4.com","location": "JPN"}|{"code":"B0017","message":"Participant ID (MOP) not found."}|||||all
21|MPM QR Verification|MOP配置信息检查-MOP状态已关闭-交易失败||||||WOP_Auto_JCoinPay_A3||MOP_Auto_GrabPay_A3||{"brandID": "Auto_GrabPay_A3","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayA3.com","location": "JPN"}|{"code":"B0020","message":"MOP status error."}|||||all24
22|MPM QR Verification|MPM QR Verification-个性化表中isMPMSupported=false||||||WOP_Auto_JCoinPay_A9||MOP_Auto_GrabPay_A9||{"brandID": "Auto_GrabPay_A9","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayA9.com","location": "JPN"}|{"code": "B0021","message": "Transaction type unsupported."}|||||all
23|MPM QR Verification|MPM QR Verification-个性化表中isMPMSupported=false,mop中isMPMSupported=true|||customizeConfig|{"mopID":"MOP_Auto_GrabPay_B1"}|{"isMPMSupported" : False}|WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1","userData": {"wopUserReference": "#autotest_data#","evonetUserReference": "#autotest_data#"},"qrPayload": "https://AutoGrabPayB1.com","location": "JPN"}|{"code": "B0021","message": "Transaction type unsupported."}|||||all
