test_id|interface|title|conf|url|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID|wopSignkey|mopParticipantID|mopSignkey|data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
1-1|MPM QR Verification|MPM QR Verification-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay01.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
1-2|MPM Payment Authentication|MPM Payment Authentication-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "abcdrfg"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|||||all
1-3|Payment Notification|Payment Notification-MPM通知成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#evonetOrderNumber#", "evonetOrderCreateTime": "#evonetOrderCreateTime#", "userPayTime": "#userPayTime#", "transResult": {"status": "succeeded", "message": "Success"}}|{"code": "S0000", "message": "Success."}|||||all
1-4|Payment Inquiry|Payment Inquiry-查询MPM原交易成功的||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"status":"succeeded","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
2-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
2-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
2-3|Payment Inquiry|Payment Inquiry-查询CPM原交易成功的||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#originalEvonetOrderNumber#|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"status":"succeeded","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
3-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
3-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "wedffdaxcas", "localName": "sb", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
3-3|Payment Inquiry|Payment Inquiry-evonetOrderNumber和mopOrderNum为空||/v0/payment/mop/paymentinquiry?evonetOrderNumber=&mopOrderNum=|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code": "V0001", "message": "Field {evonetOrderNumber and mopOrderNumber} absent or empty."}|||||all
4-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
4-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
4-3|Payment Inquiry|Payment Inquiry-evonetOrderNumber超过128位（129位）-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#create_128#1|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#create_128#1"}|{"code":"V0017","message":"Field {evonetOrderNumber} invalid length."}|||||all
5-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
5-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
5-3|Payment Inquiry|Payment Inquiry-上送："evonetOrderNumber，mopOrderNumber为空"-查询成功||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#&mopOrderNumber=""|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"status":"succeeded","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
6-1|MPM QR Verification|MPM QR Verification-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay01.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
